Date,Produit,Commercial,Quantite,Prix_Unitaire_FCFA,Chiffre_Affaires_FCFA,Cout_Total_FCFA,Marge_FCFA
2021-01-03,Produits Alimentaires,Anice,15,5000,75000,52500.0,22500.0
2021-01-10,Technique,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2021-01-17,Logistique,Johanna,10,8000,80000,56000.0,24000.0
2021-01-24,Services,Jean,5,12000,60000,42000.0,18000.0
2021-01-31,Produits Alimentaires,Marie,30,2500,75000,52500.0,22500.0
2021-02-07,Technique,Anice,15,5000,75000,52500.0,22500.0
2021-02-14,Logistique,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2021-02-21,Services,Johanna,10,8000,80000,56000.0,24000.0
2021-02-28,Produits Alimentaires,Jean,5,12000,60000,42000.0,18000.0
2021-03-07,Technique,Marie,30,2500,75000,52500.0,22500.0
2021-03-14,Logistique,Anice,15,5000,75000,52500.0,22500.0
2021-03-21,Services,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2021-03-28,Produits Alimentaires,Johanna,10,8000,80000,56000.0,24000.0
2021-04-04,Technique,Jean,5,12000,60000,42000.0,18000.0
2021-04-11,Logistique,Marie,30,2500,75000,52500.0,22500.0
2021-04-18,Services,Anice,15,5000,75000,52500.0,22500.0
2021-04-25,Produits Alimentaires,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2021-05-02,Technique,Johanna,10,8000,80000,56000.0,24000.0
2021-05-09,Logistique,Jean,5,12000,60000,42000.0,18000.0
2021-05-16,Services,Marie,30,2500,75000,52500.0,22500.0
2021-05-23,Produits Alimentaires,Anice,15,5000,75000,52500.0,22500.0
2021-05-30,Technique,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2021-06-06,Logistique,Johanna,10,8000,80000,56000.0,24000.0
2021-06-13,Services,Jean,5,12000,60000,42000.0,18000.0
2021-06-20,Produits Alimentaires,Marie,30,2500,75000,52500.0,22500.0
2021-06-27,Technique,Anice,15,5000,75000,52500.0,22500.0
2021-07-04,Logistique,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2021-07-11,Services,Johanna,10,8000,80000,56000.0,24000.0
2021-07-18,Produits Alimentaires,Jean,5,12000,60000,42000.0,18000.0
2021-07-25,Technique,Marie,30,2500,75000,52500.0,22500.0
2021-08-01,Logistique,Anice,15,5000,75000,52500.0,22500.0
2021-08-08,Services,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2021-08-15,Produits Alimentaires,Johanna,10,8000,80000,56000.0,24000.0
2021-08-22,Technique,Jean,5,12000,60000,42000.0,18000.0
2021-08-29,Logistique,Marie,30,2500,75000,52500.0,22500.0
2021-09-05,Services,Anice,15,5000,75000,52500.0,22500.0
2021-09-12,Produits Alimentaires,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2021-09-19,Technique,Johanna,10,8000,80000,56000.0,24000.0
2021-09-26,Logistique,Jean,5,12000,60000,42000.0,18000.0
2021-10-03,Services,Marie,30,2500,75000,52500.0,22500.0
2021-10-10,Produits Alimentaires,Anice,15,5000,75000,52500.0,22500.0
2021-10-17,Technique,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2021-10-24,Logistique,Johanna,10,8000,80000,56000.0,24000.0
2021-10-31,Services,Jean,5,12000,60000,42000.0,18000.0
2021-11-07,Produits Alimentaires,Marie,30,2500,75000,52500.0,22500.0
2021-11-14,Technique,Anice,15,5000,75000,52500.0,22500.0
2021-11-21,Logistique,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2021-11-28,Services,Johanna,10,8000,80000,56000.0,24000.0
2021-12-05,Produits Alimentaires,Jean,5,12000,60000,42000.0,18000.0
2021-12-12,Technique,Marie,30,2500,75000,52500.0,22500.0
2021-12-19,Logistique,Anice,15,5000,75000,52500.0,22500.0
2021-12-26,Services,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2022-01-02,Produits Alimentaires,Johanna,10,8000,80000,56000.0,24000.0
2022-01-09,Technique,Jean,5,12000,60000,42000.0,18000.0
2022-01-16,Logistique,Marie,30,2500,75000,52500.0,22500.0
2022-01-23,Services,Anice,15,5000,75000,52500.0,22500.0
2022-01-30,Produits Alimentaires,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2022-02-06,Technique,Johanna,10,8000,80000,56000.0,24000.0
2022-02-13,Logistique,Jean,5,12000,60000,42000.0,18000.0
2022-02-20,Services,Marie,30,2500,75000,52500.0,22500.0
2022-02-27,Produits Alimentaires,Anice,15,5000,75000,52500.0,22500.0
2022-03-06,Technique,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2022-03-13,Logistique,Johanna,10,8000,80000,56000.0,24000.0
2022-03-20,Services,Jean,5,12000,60000,42000.0,18000.0
2022-03-27,Produits Alimentaires,Marie,30,2500,75000,52500.0,22500.0
2022-04-03,Technique,Anice,15,5000,75000,52500.0,22500.0
2022-04-10,Logistique,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2022-04-17,Services,Johanna,10,8000,80000,56000.0,24000.0
2022-04-24,Produits Alimentaires,Jean,5,12000,60000,42000.0,18000.0
2022-05-01,Technique,Marie,30,2500,75000,52500.0,22500.0
2022-05-08,Logistique,Anice,15,5000,75000,52500.0,22500.0
2022-05-15,Services,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2022-05-22,Produits Alimentaires,Johanna,10,8000,80000,56000.0,24000.0
2022-05-29,Technique,Jean,5,12000,60000,42000.0,18000.0
2022-06-05,Logistique,Marie,30,2500,75000,52500.0,22500.0
2022-06-12,Services,Anice,15,5000,75000,52500.0,22500.0
2022-06-19,Produits Alimentaires,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2022-06-26,Technique,Johanna,10,8000,80000,56000.0,24000.0
2022-07-03,Logistique,Jean,5,12000,60000,42000.0,18000.0
2022-07-10,Services,Marie,30,2500,75000,52500.0,22500.0
2022-07-17,Produits Alimentaires,Anice,15,5000,75000,52500.0,22500.0
2022-07-24,Technique,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2022-07-31,Logistique,Johanna,10,8000,80000,56000.0,24000.0
2022-08-07,Services,Jean,5,12000,60000,42000.0,18000.0
2022-08-14,Produits Alimentaires,Marie,30,2500,75000,52500.0,22500.0
2022-08-21,Technique,Anice,15,5000,75000,52500.0,22500.0
2022-08-28,Logistique,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2022-09-04,Services,Johanna,10,8000,80000,56000.0,24000.0
2022-09-11,Produits Alimentaires,Jean,5,12000,60000,42000.0,18000.0
2022-09-18,Technique,Marie,30,2500,75000,52500.0,22500.0
2022-09-25,Logistique,Anice,15,5000,75000,52500.0,22500.0
2022-10-02,Services,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2022-10-09,Produits Alimentaires,Johanna,10,8000,80000,56000.0,24000.0
2022-10-16,Technique,Jean,5,12000,60000,42000.0,18000.0
2022-10-23,Logistique,Marie,30,2500,75000,52500.0,22500.0
2022-10-30,Services,Anice,15,5000,75000,52500.0,22500.0
2022-11-06,Produits Alimentaires,Mamadou,22,15000,330000,230999.99999999997,99000.00000000003
2022-11-13,Technique,Johanna,10,8000,80000,56000.0,24000.0
2022-11-20,Logistique,Jean,5,12000,60000,42000.0,18000.0
2022-11-27,Services,Marie,30,2500,75000,52500.0,22500.0
